station,latitude,longitude
Marienfelde,52.42351582937851,13.37496375651094
Attilastraße,52.44754685477345,13.361061983494272
Priesterweg,52.459493785470805,13.356096641167891
Südkreuz,52.47614064711539,13.36517081606288
Anhalter Bahnhof,52.504590946545335,13.381809631942518
Pankow-Heinersdorf,52.577396252279016,13.428642098848965
Blankenburg,52.59092496538379,13.44297551234078
Karow,52.614798714969275,13.46880449885161
Buch,52.636543506119835,13.492288325834785
Röntgental,52.64923224467315,13.514341801299421
Zepernick,52.659369303731985,13.533169429545875
Bernau-Friedenstal,52.668346529796125,13.564627816563448
Bernau,52.676152500773355,13.592795450964486
Erkner,52.42849596908079,13.751710758873767
Wilhelmshagen,52.43905029488976,13.721432100693963
Rahnsdorf,52.451607733524625,13.691340025872696
Friedrichshagen,52.45731067094396,13.624050481640175
Hirschgarten,52.45792219694551,13.602610125822194
Köpenick,52.4587178597519,13.579940868149516
Wuhlheide,52.468793064242526,13.55376888164109
Karlshorst,52.48100542620898,13.525956556514965
Rummelsburg Betriebsbahnhof,52.49360047530222,13.498172868151974
Rummelsburg,52.50130331652929,13.478193152806908
Ostkreuz,52.50303328606647,13.469354156516578
Warschauer Straße,52.50530168899189,13.448891422116125
Ostbahnhof,52.51050555578469,13.435157929535414
Jannowitzbrücke,52.514132367671024,13.419642923971505
Hackescher Markt,52.52266872350093,13.402274266299274
Bellevue,52.519976058735175,13.348054839317431
Tiergarten,52.513949442831134,13.336368156517274
Savignyplatz,52.50507591395623,13.319046081643663
Charlottenburg,52.50468431243704,13.302792471862203
Westkreuz,52.50082635682551,13.284018099351362
Messe Süd,52.49861141325886,13.269910200698122
Heerstraße,52.50782019123762,13.259828468152968
Olympiastadion,52.51098326026607,13.241099268153194
Pichelsberg,52.50991691240421,13.22819645280752
Stresow,52.53209838027164,13.209171295136352
Spandau,52.53458165245088,13.198418031899573
Strausberg Nord,52.590588348110714,13.90873248465933
Strausberg Stadt,52.57683701958876,13.888049359516504
Hegermühle,52.54884681010924,13.866635773011
Strausberg,52.53275764252479,13.835971344175835
Petershagen Nord,52.52902839365587,13.789910271164834
Fredersdorf,52.526246562336475,13.761136428835163
Neuenhagen,52.52058024796141,13.699727271164829
Hoppegarten,52.51808888100458,13.6737159134945
Birkenstein,52.51569869345463,13.647702069318663
Mahlsdorf,52.51230574938303,13.612135236219844
Kaulsdorf,52.51211347624868,13.590548228835168
Biesdorf,52.51318824730876,13.554817671164828
Friedrichsfelde Ost,52.51378673537355,13.52002708465933
Nöldnerplatz,52.50344777302993,13.484384544175837
Ahrensfelde,52.5720790930219,13.566260543604518
Mehrower Allee,52.55774064776854,13.553659271164832
Raoul-Wallenberg-Straße,52.55074978564047,13.547568642329669
Marzahn,52.54240411251367,13.542590728835167
Poelchaustraße,52.53557598411018,13.535448255314845
Springpfuhl,52.52596758933457,13.536902742329668
